照片,該照片的文字敘述
文件一_第57頁,這是一張針對商管與資訊跨域考生的「科系大辨析」問答圖卡問題篇。整張圖卡採用極具科技貴氣與神祕感的深紫色發光幾何風格，背景佈滿了交錯縱橫的數位印刷電路軌跡與發光節點。中央的金屬科技圓框內懸浮著一顆立體紫水晶質感的璀璨「Q」字（代表Question），下方以醒目的白色邊框深紫粗體大字拋出核心問題：「資料科學系的課程與資管系差別？」，底端配有紫色發光小箭頭示意右滑看解答。這道題目直指廣大高中生與家長在填報志願時最容易混淆的痛點，透過專業的視覺包裝，成功引發讀者對兩者系所核心定位差異的高度好奇心與點閱欲望。
文件一_第58頁,這張圖卡是前一張問題的官方標準解答篇，延續一致的深紫色霓虹科技電路風格。中央的紫水晶圖框內更換為發光的「A」字勳章，周邊環繞著公事包、長條圖、文件、程式碼等插圖。下方的白色圓角文字方塊內給予了權威且條理分明的詳細對比：解答指出，資管系（資訊管理學系）的核心課程必須修習大量的經濟學、會計學與管理學，本質上偏向「企業經營與商業流程管理」；相較之下，資料科學系則將所有能量專注在「數據處理、機器學習分析、資訊視覺化與AI產品開發」，且應用場景絕不僅限於商業報表，而是廣泛涵蓋影像辨識、自然語言文本分析、聲音訊號處理等貼近現代人日常的多媒體生活場景，界線十分涇渭分明。
文件一_第59頁,這是一張針對個人申請入學第一階段篩選標準重大變革所設計的問答圖卡問題篇。整體視覺採用溫暖明亮且充滿活力的橙橘色幾何電路板風格，背景由精密的光學線條與微晶片節點構成。中央的八角形科技框架內嵌有一顆散發著耀眼金黃色光芒的立體「Q」字，四周點綴著時鐘、公事包、長條圖及程式碼括號等精緻圖示。下方以極為醒目深邃的黑色粗體大字提問：「請問往年一篩英數B，今年為何改一篩英文？」，底部附有橘色箭頭示意看解答。該提問切中當年所有高三考生、升學輔導老師與家長最關切的升學門檻變動核心，是極具實用價值的官方政策說明引子。
文件一_第60頁,這張圖卡是針對篩選科目調整的官方權威解答篇，延續一致的溫暖橙黃色發光電路科技底圖。中央框內呈現耀眼的立體金色「A」字，周圍環繞著象徵知識與邏輯的齒輪、時鐘與報表小圖示。下方文字方塊內給予了詳盡且極具說服力的官方說明：本系自該年度起改採「數A、數B兼採」政策，由於考生可能考數A或數B，依據教育部的聯招規定無法在第一階段同時將AB兩科雙重數學列為篩選條件；而若改以國文與英文作為篩選條件，又會與本校多數文法商學系過度重疊缺乏特色；再者，系所考量到具備優良的英文閱讀與理解能力，能極大程度幫助學生在大學期間閱讀國際最新AI文獻、參與課堂英語討論並撰寫高水準專題報告，因此最終慎重選擇以「英文」作為第一階段之獨立篩選科目。
文件一_第61頁,這是一張高規格電視專訪節目的正式播出預告宣傳圖卡。背景是東吳大學智慧創新AI學習中心內部高階電腦教室的開闊全景，金凱儀院長端坐在正前方，前方架設著兩台極具份量的專業廣播級大型攝影機、專業三腳架與收音指向性麥克風。畫面下方以深藍色大圓角標籤發布權威預告：「敬請鎖定【台灣好品牌】寰宇財經台 MOD520【巨量資料管理學院】第【三】版播出」，並清楚註明準確的首播時段為「04/18(六) 晚間21:00-21:30」。整張圖片充滿主流財經新聞媒體進駐校園專題報導的高級質感，向外界強烈展現東吳巨資學院在培育新世代AI大數據實戰人才上的卓越品牌形象與社會高度肯定。
文件一_第62頁,這是一張科技感十足且陣容龐大的「NVIDIA GTC 2026 校園 Watch Party」成果宣傳海報。頂部以深藍色科技底圖宣告活動名稱：「NVIDIA GTC 2026 中文導讀會-東吳大學場」，導讀題目鎖定為「NVIDIA創辦人暨執行長黃仁勳 主題演講」。右上角大幅展示了黃仁勳身穿經典黑皮衣在國際大會上自信演講的颯爽英姿。中央圖像是當天在東吳大學外雙溪校區「普仁講堂」舉辦的直播派對現場大合照，寬敞的紅色階梯會議廳內坐滿了上百位熱情師生，大家高舉綠色布條、標語與校徽齊聲歡呼合影。下方則印有大字「精彩繼續…… 校園Watch Party 3月23日 普仁講堂」，最底層為資科系官方品牌Logo，展現系所與全球晶片巨頭零時差接軌的非凡魄力。
文件一_第63頁,這是一張從普仁講堂斜前方高角度拍攝的校園活動全景紀實照片。整間階梯式國際會議廳座無虛席，滿滿的學生、家長與專任教師齊聚一堂。聽眾席呈現層層遞進的弧形階梯結構，每一排木質座椅上都坐滿了聚精會神的與會者，前排貴賓與師長們面帶親切微笑專注看著講台方向，部分同學膝上放著筆記型電腦或活動資料夾隨時記錄。天花板上整齊懸掛著多排明亮的長條型日光燈與吊掛式高解析投影機，兩側高大明亮的窗戶搭配柔和的天藍色窗簾，整體環境典雅莊重。這張照片完美記錄下活動當天全場爆滿的盛況，真實展現出資料科學系各項學術講座與招生說明會在校內外所引發的超高人氣與熱烈迴響。
文件一_第64頁,這張照片記錄了金凱儀院長向新生與家長深度剖析系所四年完整修業地圖的演講實況。金院長身穿橫條紋上衣、佩戴名牌手持麥克風，神情專注地站立在大螢幕前。她身後正投射出系上最具特色的三大核心模組四年階梯式修課架構：畫面清晰展示出「A模組：AI系統課程模組」、「B模組：雲端系統與資料工程模組」以及「C模組：智慧商務與資料分析課程模組」。每個模組均清楚劃分大一基礎能力建構（如程式設計、微積分、線性代數）、大二核心分析（機率統計、資料工程、視覺化）、大三進階應用（機器學習、深度學習、文字探勘、量化交易）至大四大型畢業專題與系統整合，邏輯層次極為分明，充分體現出學系兼具深度與廣度的完整人才培育體系。
文件一_第65頁,這是一張東吳大學許晉雄教授兼教務長的個人特寫致詞照片。許教務長身穿筆挺俐落的淺藍色短袖襯衫，繫著一條深藍底白斜紋的典雅領帶，鼻樑上架著一副半框眼鏡，左手腕佩戴著精緻的金屬腕錶。他雙手緊握著黑色無線麥克風，身體微微前傾，眼神誠懇且堅定地注視著台下的每一位家長與青年學子，正以沉穩而溫暖的嗓音發表勉勵談話。他身後的木質講台與大黑板營造出傳統大學講堂特有的莊重學術氛圍。這張特寫生動捕捉到了大學高層主管親臨第一線關懷學生成長、親自為準大一新生指引學術方向的學者風範，傳遞出東吳大學對每一位學子傾注心力培育的堅定承諾。
文件一_第66頁,這張照片記錄了系所特色說明會上的熱烈講課場景。在階梯教室內，蘇明祥副教授身穿淺藍色休閒襯衫與牛仔褲，胸前佩戴識別證，手持麥克風站在講台右側，正帶領全場觀眾解析身後大螢幕上的巨幅投影片。投影片以生動活潑的精靈與果實插畫呈現「系所特色：跨領域X多元化師資」，詳細展示了機器學習、永續發展、行為科學、智慧商務及資料科學等五大核心學術領域的跨界整合佈局。左側立地展架則展示著前往美國矽谷聖荷西州立大學（SJSU IDS）的雙聯捷徑。前景可以看到滿座學生的後腦勺與背影，大家聚精會神地仰望著屏幕，現場互動氛圍熱烈而專注。
文件一_第67頁,這是一張記錄雙師協同座談答詢環節的溫馨紀實照片。講台前並肩站立著兩位資料科學系的資深核心專任教師——左側是身穿黑色POLO衫配休閒牛仔褲的吳政隆教授，右側則是身穿淺藍色短袖襯衫的蘇明祥副教授。吳教授雙手握著麥克風，正神情沉穩而誠懇地針對台下家長關於未來就業出路與程式基礎門檻的提問給予精闢務實的解答；身旁的蘇副教授則面帶和藹微笑注視全場，隨時準備進行補充說明。講台左側豎立著「矽谷起點 職涯捷徑」的國際雙聯宣傳展架，前方階梯教室坐滿了認真聆聽的學生與家長，充分展現出系上教授們親切無架子、齊心為學生答疑解惑的優良師道傳統。
文件一_第68頁,這張照片記錄了招生說明會上系所師長分享多元校園資源的生動實況。講台中央站著一位身穿極其搶眼亮橘色運動長袖T恤、佩戴名牌與口罩的熱心師長，他右手穩穩持著麥克風，左手自然配合語調擺動，正熱情洋溢地向台下聽眾分享系上為學生爭取的各項國際交流計畫、證照考取獎助金以及競賽輔導資源。講桌旁站著另一位身穿淺藍色襯衫的專任教師微笑陪伴。講台側邊印有古雅的東吳圓形校徽木雕，左側展架清楚標記著直通矽谷的留學路徑。整張照片捕捉到師長在講台上充滿活力、極富感染力的講述神態，讓台下對未來大學生活感到忐忑的新生與家長頓時倍感安心與受到激勵。
文件一_第69頁,這是一張記錄系所行政團隊向家長與新生進行細緻輔導說明的紀實照片。畫面中一位留著俐落短髮、身穿亮黃色長袖外套與深灰寬褲、佩戴口罩的女性主管或資深同仁端莊站立在講台中央，雙手握著麥克風親切發言。她身旁站著身穿淺藍色襯衫的專任教師，兩位主講者一同面對台下座無虛席的聽眾，針對大一新生的生活適應、雙溪校區與城中校區之間的交通往返、導師輔導機制以及系辦能提供的全方位行政支持進行了無微不至的介紹。前排家長聚精會神地聆聽，甚至有家長舉起手機拍攝投影片紀錄，整間教室充滿了溫暖、互信且務實的雙向交流氛圍。
文件一_第70頁,這張照片記錄了邱嘉豪助理教授向在場家長與考生進行自我介紹與專業分享的精彩瞬間。邱老師身穿一襲極具都會時尚感與學術氣質的淺卡其色西裝外套、內搭黑色打底衫與休閒長褲，鼻樑上架著一副黑色圓框眼鏡。他站在講台前神采奕奕，右手持麥克風，左手高高揚起做出極具說服力的手勢，正生動介紹自己如何在課堂上結合機器學習演算法與程式自動化交易，引導學生親自設計量化投資策略。講桌旁另一位專任教師帶著微笑專注聆聽，背景大螢幕與矽谷雙聯展架相互襯托，展現出青年學者意氣風發、致力於將尖端金融科技理論落地實踐的教學熱忱。
文件一_第71頁,這張照片記錄了在校優秀學姐向即將參加二階甄試的學弟妹傳授面試心法的實戰經驗分享現場。大螢幕上正清晰展示著學姐製作的「面試準備建議」簡報，上方以紅色勾選標註三大準則：「口齒清晰」、「聽懂題目」與「想好再回答」；左下方深入列出面試常見的核心必考題型（如：資料科學在現今社會中的重要性、對AI的看法、為何報考本科系）；右側則提醒考生思考自己在團隊中扮演的角色。一位身穿黑色長袖上衣的女學姐手持麥克風與簡報筆，端莊自信地站立在講台右側，以過來人的親身體驗向全場娓娓道來面試應對進退的致勝訣竅，演講內容極具參考價值與說服力。
文件一_第72頁,這張照片捕捉了在校學長向新生與家長熱情介紹系所豐富資源的分享環節。大螢幕上的投影片以醒目的大字標題寫著「系上有什麼資源」，並用箭頭引出三大實質福利：「證照考取補助」、「NVIDIA工作坊」以及高額的「獎學金」；下方特別展示了由系友與社會賢達捐資設立的「文華獎學金」，註明其獎勵學業表現、競賽傑出與學術研究成果。一位身穿純白短袖T恤的帥氣男學長手持麥克風站立在講桌前，神情開朗自信，正指著投影片上的 NVIDIA 國際認證證書樣本與獲獎學長姐照片，現身說法分享自己如何善用系上豐沛的資源考取多張國際AI證照並獲得高額獎助金，台下聽眾聽得津津有味。
文件一_第73頁,這是一張極具校園現場臨場感的活動路線引導告示牌照片。畫面拍攝於東吳大學校舍走廊的紅磚地板上，戶外陽光充足、遠處綠樹與藍天清晰可見。走廊旁矗立著一座黑色的滾輪式金屬立地宣傳展示架，架上陳列著色彩繽紛的活動海報。展示架正中央壓上了極其醒目的亮紫色霓虹粗體大字：「2026預見東吳 4.12台北場 前往資料科學系 路線圖」，清楚指引當天前來參加「預見東吳」全校性諮商活動的考生與家長，如何順著動線前往資料科學系的諮詢教室。這張照片記錄了系所在大型校園開放日當天縝密貼心的試務規劃，展現出熱情迎賓的專業態度。
文件一_第74頁,這是一張結合名師訪談短片與社群推廣的精緻垂直排版宣傳圖卡。畫面頂部以白色書法字體題寫「教學特色：蘇明祥老師偷偷跟你說……」。中央的訪談影片截圖中，蘇明祥副教授身穿一件鮮豔保暖的紅色羽絨連帽外套，雙手交疊端坐在智慧創新AI學習中心內部，字幕展示其核心教學理念：「手把手的教你從最基礎的理論循序漸進學習」，上方並飾有「課程由淺入深」的黃色標籤，強調即便沒有任何程式基礎的學生也能毫無負擔地學會大數據。畫面下半部延續星際宇宙主題，繪有太空人與發光星球，並附上巨資學院官網、資科FB、官方IG與YouTube頻道之四合一訂閱QR Code，極具宣傳親和力。
文件一_第75頁,這是一張在社群網路上引發極高共鳴與點閱的趣味校園日常「迷因圖（Meme）」。照片拍攝於資料科學系的行政辦公室內，整體畫面被調成了充滿戲劇性與滄桑感的黑白色調，並後製加上了布滿整個畫面的黑色碎裂縫隙特效。隔板座位上一位身穿深色T恤的女同仁正面對電腦螢幕，手中高舉著一張被故意撕裂、上面寫著「巨資小編 崩潰中」的A4白紙遮住整張臉。座位隔板上清楚貼有名牌。畫面下方以亮藍色標籤宣告主題：「連假後的系辦現場」，底部並以白色大字搭配經典社群流行語：「POV：小編想直接登出」，右下角印有系徽。整張圖片以幽默自嘲的手法呈現了長假過後面對堆積如山試務公文的真實心境，令人會心一笑。
文件一_第76頁,這是一張名師解惑短影音的官方推廣圖卡，主題以鮮豔的黃白大字寫著廣大高中生的共同痛點：「資料科學系 數學能力要很好？」。中央的訪談畫面中，許晉雄教授兼教務長佩戴眼鏡身穿黑色長袖上衣，雙手合十端坐在木質背景前受訪，字幕打出其權威解答：「其實不用 我們比較注重的是邏輯思考與實際問題的解決能力」。畫面左上方印有系徽與名牌，下半部則延續系列貼文一貫的宇宙太空視覺風格，黑底繁星中漂浮著彩色行星與小太空人插圖，底部完整陳列四個官方社群二維碼（巨資官網、資科FB、官方IG、YouTube）。這張圖卡有效打破了外界認為念資料科學必須是數學天才的刻板迷思，展現出系所開放包容的育才態度。
文件一_第77頁,這是一張「資料科學系 職涯諮商室」主題短影音的社群宣傳圖卡，右上方畫有一張待辦清單插圖。中央的受訪截圖中，邱嘉豪助理教授戴著黑色圓框眼鏡、身穿深灰色西裝外套，雙手在胸前穩穩端著「東吳大學巨量資料管理學院 資料科學系」的官方藍白大字手牌。字幕展示其針對職涯競爭力的深刻洞察：「以及精準的決策 這些跨領域的整合能力」，強調大數據人才的無可替代性在於能結合數據與跨領域專業做出商業判斷。畫面下半部依然配有精美的太空星系視覺與巨資官方四大社群平台的追蹤QR Code矩陣，透過青年學者專業有力的訪談金句，向廣大青年學子展示資科系未來的璀璨職涯前景。
文件一_第78頁,這是一張節奏活潑輕快、主打趣味快問快答的短影音推廣圖卡。頂部以醒目的青綠色與亮黃色粗體字標題宣告：「聽說……資料系每天都要寫程式？這題邱嘉豪老師搶答！」。中央影片截圖中，邱嘉豪助理教授身穿深灰色休閒西裝站在綠意盎然的AI中心發光牆面下，雙手拿著「Data Science 資料科學系」的金屬立體字牌，面帶自信微笑搶答：「我知道 我們會教你用 AI 輔助！」，點出新時代工程師早已進化為善用生成式AI共同協作編程的現代思維。畫面底部配有太空人、行星插圖與巨資官網、FB、IG、YouTube四合一社群QR Code，成功以接地氣的幽默問答化解了高中生對大學枯燥寫程式的恐懼心理。
文件一_第79頁,這是一張展現產學實戰即戰力的短影音宣傳圖卡，頂部以搶眼的紫粉色霓虹字體寫著傲人成果：「資料科學系學生 已經在做企業產學專案！#跨域實驗室」。中央的影片截圖中，吳政隆教授身穿深藍色長袖襯衫，沉穩端莊地站立在兩位優秀學生的身後；前排兩位男同學並肩坐著，穿著休閒深色上衣，眼神中透出經歷真實業界專案淬鍊後的自信光芒。字幕正播放著吳教授的發言：「如果你有任何興趣 你也可以跟我們聯繫」，身後牆面印有綠色電路圖與資科系徽。下方配有太空主題視覺插畫與全套社群追蹤QR Code，生動呈現出東吳資科系打破象牙塔、讓學生在大學期間便直接承接上市櫃企業產學專案的強大實作特色。
文件一_第80頁,這是一張由學院掌舵者親自為廣大學子解碼學系本質的重量級訪談圖卡，頂部以白色與彩色大字標題提問：「資料科學系 學什麼？」。畫面中央的受訪畫面中，巨量資料管理學院金凱儀院長留著精緻短髮，身穿一襲溫暖柔和的灰色高領針織毛衣，端坐在典雅的辦公室會議桌前。她目光堅定而溫柔地直視鏡頭，正以清晰條理的架構向觀眾全面拆解資料科學系的核心定位：融合統計學、計算機科學與跨領域商務應用，培養能駕馭海量數據並轉化為實質價值的未來領袖。下半部搭配經典的太空宇航員插畫與全渠道社群QR Code矩陣，作為全系列答疑圖卡的總結，展現出學系兼具學術高度與前瞻視野的宏大辦學格局。
文件二_第01頁,這是一張散發著好萊塢史詩級電影海報質感的奇幻視覺概念圖卡，標題以雄渾大器的金色浮雕字體題寫：「光與數據之戰 第一部-魔龍降臨」。畫面背景是一片電閃雷鳴、烏雲密布的荒涼遠古高原。右側一隻體型龐大無比、長著猙獰骨刺與巨大雙翼的黑鱗魔龍正發出咆哮降臨地表，粗壯的龍爪踏碎岩石，天際一道狂暴的白色雷電精準撕裂長空直劈而下；左側地平線上，一位身穿厚重金屬板甲、留著金色長髮的英勇女戰士孤身傲然迎風站立，毫無懼色地抬頭仰望巍峨的巨龍。這幅極具戲劇張力的原創視覺圖騰，巧妙運用奇幻巨龍象徵當前人類社會所面臨的爆炸性海量複雜數據挑戰，而手持利刃的戰士則象徵勇敢踏入資料科學領域探索未知的年輕學子，寓意極其深遠大器。
文件二_第02頁,這張圖片是前一張史詩概念視覺的系列延續章節，標題以閃耀的金色字體題寫為：「光與數據之戰 最終曲-決戰巨石王」。畫面場景轉換至黃昏雷雲籠罩下的險峻山嶺，天際透出末日般壯麗的暮光。畫面右側佇立著一尊由無數巨大風化岩石拼合而成的山嶽級巨人「巨石王」，他雙眼散發著灼熱的金光，全身覆蓋著堅不可摧的石甲與岩石肌肉，散發出令人窒息的壓迫感；左側那位金髮女戰士已拔出寒光閃閃的長劍，雙手持劍正步向前直指巨人的心臟，展現出誓死一搏的無畏勇氣。這幅充滿震撼視覺張力的畫作象徵著學生在經歷大學四年紮實的數理、程式與AI模型訓練後，終於具備足夠強大的技術硬實力，能夠正面擊潰最艱澀複雜的真實產業數據壁壘，迎向勝利曙光。
文件二_第03頁,這是一張記錄畢業典禮榮耀時刻的三格直式精彩紀實拼圖。最上方一格是許晉雄院長身著黑色博士學位服、披戴金黃色領巾，在「畢業典禮」典雅背景前手持麥克風發表深情勉勵致詞的特寫；中央最大的一格是畢業典禮全體師生大合照，寬敞的階梯講堂內，前排師長與後方數十位身穿學士袍與碩士袍的畢業生緊密依偎，全場齊聲歡呼比手勢，後方黑板掛有色彩繽紛的「畢業快樂」氣球拉花與資科系牌；最下方一格則是前校長同樣身穿莊嚴的學位袍與亮橘色領巾，手持麥克風向全體畢業學子送上誠摯的離別祝福與人生叮嚀。整張拼圖洋溢著濃厚的離別依依之情與學成畢業的自豪成就感，記錄下了巨資學子告別校園的重要里程碑。
文件二_第04頁,這是一張由東吳大學社會資源處生涯發展中心發布的「畢業生流向訪問」官方宣傳海報。版面以乾淨溫暖的淺米色為底，左上方印有東吳大學校徽，主標題以醒目的深藍色粗體字呈現。公告對象鎖定在112、110及108學年度的畢業校友，呼籲學長姐們關注此項重要普查。右側繪製了一隻戴著黑色學士帽、身穿印有SCU字樣深藍色棒球夾克並打著小領帶的可愛東吳二代泰迪熊。下方附有問卷專屬QR Code與官方網址，並以愛心符號詳細標註期程：自2025年7月12日起將由在校學弟妹進行親切電話訪問服務；只要在2025年8月25日前完成線上問卷填寫，即可獲得抽獎資格，校方一共備妥了多達300個精美母校紀念品等候校友領取。
文件二_第05頁,這張圖片是畢業生流向訪問的抽獎活動規則與豐富獎項明細表。上方以鮮豔的紅字標題宣告只要在期限內完成線上問卷即可參加抽獎，抽獎機制採三波滾動式進行：第一波於6/25前填答並於6/27抽出90名；第二波於7/30前填答並於8/1抽出150名；第三波於8/25前填答並於8/27抽出60名，未中獎者資格可累計至下一波。名單將在抽獎後兩天內公布於官網與FB並發送簡訊。下方以圖文展示多項精美實體獎品，包括陽明海運禮包1名、長榮海運禮包2名、長榮飛機模型1名、長榮航空帆布包1名、安永會計禮包1名、微型積木45名、校徽隨身碟40名、行李收納袋20名、不鏽鋼吸管組10名、東吳文具組3名、鈦印章140名、東吳二代熊一對1名、東吳icash10名及東吳乖乖1箱共25名，獎品極具紀念價值。
文件二_第06頁,這是一張針對畢業校友設計的政策宣導與問答圖卡，標題以深藍色粗體字提問「什麼是畢業生流向訪問？」。內文清楚說明此項調查是依據教育部規定，全國各大專校院均必須針對畢業滿一年、滿三年及滿五年的畢業校友進行流向調查。特別強調本項訪問是屬於全體普查而非抽樣訪問，其法律授權依據為教育基本法第九條，明定教育統計為中央政府之教育權限事項之一。版面中央以大字標明調查之核心目的，並搭配燈泡、齒輪與人際網絡三個精緻小圖示，條列出三大具體效益：校務辦學優化、學系課程調整以及校友服務聯緊，左下方並有一隻東吳小熊陪伴，期盼能藉由充足的代表性樣本數，作為未來母校精進教學品質的重要大數據分析基礎。
文件二_第07頁,這張宣傳圖卡旨在向畢業校友清晰介紹流向訪問的具體參與管道。上方列出最推薦且便利的第一種管道「線上問卷」，開放期間為6月至8月，圖中配有一隻正在敲打筆記型電腦鍵盤的認真東吳小熊，並附上了官方填答網址，詳細提示登入帳號為個人的身分證字號、密碼為生日後四碼，學校亦會透過手機簡訊與電子郵件同步寄發專屬連結。下方則介紹第二種管道「學弟妹電話訪問」，期間為7月至8月，配圖是兩隻頭戴耳機麥克風、身穿SCU服飾的電訪員小熊，說明屆時將由各學系學弟妹組成熱情的電話訪問團隊，在暑假期間進行一對一的親切電訪服務，協助平時工作繁忙未能即時上網的學長姐完成問卷。
文件二_第08頁,這是一張解答校友填答疑慮的FAQ常見問答圖卡，左側繪有戴耳機的東吳熊插圖。第一個問題針對校友常有的困惑「為何要詢問我薪資？」，官方解答此為教育部規定必須調查的法定項目，但問卷在設計上極為保護個人隱私，並非要求填寫精確具體數字，而是採取合理的「區間範圍」選項，回收後所有資料皆會進行去識別化處理以利宏觀統計。第二個問題則是回答「我目前還在找工作，或覺得目前薪水不理想，會不會拉低母系的就業比例與平均值？」，官方懇切說明這項調查的主要用意是供母系作為課程規劃調整之參考，並讓在校學弟妹了解真實職場樣貌與可能面臨的就業情境，問卷沒有任何標準答案，依自身真實情況填寫就是最有價值的回饋。
文件二_第09頁,這張圖卡專門解答關於工作內容細節調查的疑問，右下方繪有一隻手持鉛筆、身旁圍繞著各行各業男女上班族剪影的東吳小熊。上方提問「為何要詢問我公司名稱、職位、工作內容？」，解答中向校友分析，這些題目看似相似，但在統計學與勞動研究上分別代表了「行業」與「職業」兩種截然不同的專業概念。蒐集這些資訊的目的在於深入分析畢業系友所從事的產業類別與職業類型分佈，讓學系能精準掌握學長姐畢業後的實際出路，並據此作為未來系所課程規劃與學弟妹職涯輔導的核心參考。同時特別貼心註記，若任職公司內部有保密考量或校友不便填寫全名，完全可以採用匿名或概括性代稱填寫，例如填寫【XX補習班】、【XX律師事務所】或【XX證券】即可。
文件二_第10頁,這是一張針對特殊學制校友與歷年數據公開所製作的解答圖卡，右下角展示了一隻東吳熊正在使用桌上型電腦查閱圖表報告的插圖。第一個問題探討「為何我需要填寫兩份問卷？」，官方說明若校友同時具備本校學士班以及碩士班或博士班畢業資格，且各自畢業剛好屆滿一、三、五年，為了分別評估不同學制學位之教學成效，系統會需要校友分別填寫兩份或兩份以上不同的問卷。第二個問題則是解答「過去訪問的統計結果在哪裡？」，圖卡明確指出所有歷年調查結果皆公開透明，校友可直接造訪東吳大學社會資源處生涯發展中心官方網站的「畢業生流向調查」專區，該專區完整收錄了去年度問卷結果的統計摘要分析，非常歡迎學長姐點閱參考以了解母校與系所近年來整體畢業生的就業發展趨勢。
文件二_第11頁,這是一張由東吳大學資料科學系使用者經驗分析研究室發布的「兒童正念課程」研究計畫招募公告。上方以大字標明主題，說明研究目的在於結合跨領域專業人員，利用圖示、音檔與互動機器人輔助兒童正念專注課程，探討科技對兒童情緒穩定與專注力提升之成效。招募對象為7至11歲一般兒童，全程免費且保護個人隱私。課程共9週，分為實驗組（互動機器人）與對照組（平板投影），首週與第9週於東吳大學進行初評與後評測驗，第2至8週於內湖民權東路六段進行正念訓練（每次包含40分鐘專任老師教學、20分鐘研究團隊帶領及10分鐘回饋）。下方詳列計畫主持人何穗華博士與張研究助理之電話、Email等完整聯絡資訊。
文件二_第12頁,這是一張極具療癒感與校園代表性的紀念品開箱特寫照片。畫面正中央端坐著兩隻毛茸茸、面帶溫暖微笑的「東吳二代泰迪熊」玩偶。左邊的小熊身穿黑白相間的經典美式棒球夾克，左胸繡有象徵東吳的SCU徽章，右腳掌繡有古雅的「東吳」中文隸書字樣；右邊的小熊則身穿紅黑相間的連帽運動休閒外套，左腳掌印有紅色愛心圖案。兩隻小熊圓滾滾的手臂中各自捧著一個剛開封的米白色束口帆布福袋，彷彿正在興奮地展示剛收到的校園紀念品。畫面右下角印有巨量資料管理學院與資料科學系的官方雙標誌，上方則搭配活潑的對話框文字：「好興奮喔 一起來開箱！」，整體畫面散發出濃郁的校園溫馨情調與文創魅力。
文件二_第13頁,這是一張巧妙融合航空旅行概念、極富創意的畢業典禮邀請函海報。畫面背景是晴朗的天空與手繪雲朵，左側設計成一張極具巧思的「登機證（BOARDING PASS）」，上面蓋有大字日期「6.7 (SAT) 13:00-14:30」，並印有飛往未來的航班代碼「SCU ✈ FUTURE」與商品條碼。右側繪製了一隻戴著黑色學士帽、身穿學士袍的東吳小熊，正開心地駕駛著一架印有 SCU 標誌的紅白雙色螺旋槳小飛機翱翔天際，周圍環繞著紙飛機與航線虛線。左下角註明典禮地點為台北市士林區臨溪路70號東吳大學外雙溪校區哲生樓，右下角則有院長許晉雄的親筆敬邀簽名，象徵著巨資學院祝福全體畢業生展翅高飛、航向璀璨前程。
文件二_第14頁,這是一張充滿離情依依與感恩情懷的校園畢業主題寫真照片。畫面中的主角是一隻毛質蓬鬆柔軟的東吳大學泰迪熊玩偶，頭戴方正的黑色學士帽，胸前穿戴著代表學士學位的黑色披肩垂巾，垂巾中央佩戴著一枚鮮豔的東吳紅色圓形校徽徽章。小熊一隻毛茸茸的手臂高高向外舉起，身旁搭配著一個純白色的橢圓形對話框，裡面以工整的黑色字體寫著「謝謝老師」四個字，表達對師長多年辛勤栽培的無盡感激。背景是東吳大學校園內蔚藍天空下的教學大樓窗景，左下方印有巨量資料管理學院資料科學系的官方品牌標籤。整張照片構圖純真溫暖，生動傳遞出每位畢業生在離校之際對母校與授業恩師的深深眷戀與由衷謝意。
文件二_第15頁,這是一張設計成復古電影片格風格的畢業主題宣傳照片。畫面上下飾有經典的黑底白色35毫米電影底片齒孔與邊碼（標有11A、12等數字），中央的主要畫面是一片陽光普照、綠草如茵的開闊草坪。一隻戴著黑色學士帽、身穿學士服的可愛東吳小熊玩偶，正邁開步伐歡快地朝向右前方一架純白色的民航噴射客機奔跑過去。小熊的姿態生動活潑，彷彿迫不及待地想要登機啟航。畫面下方中央打上一行充滿期待的字幕：「參加畢業典禮囉！」，右下角則整齊印著東吳大學巨量資料管理學院資料科學系的官方英中文品牌Logo。整張圖片充滿了青春電影般的浪漫敘事感，將大學畢業的歡樂儀式感與邁向人生新旅程的雀躍心情完美融合。
文件二_第16頁,這是一張在期末考季為全校學生加油打氣的溫馨圖卡。頂部以記事本橫線紙為底，用可愛的彩色POP字體寫著：「東吳熊出任務-期末考 ALL PASS！同學注意！資料科學系暖心登場」。畫面中央是一隻毛茸茸的東吳泰迪熊特寫，小熊頭上戴著一副極具學者氣息的黑色圓框眼鏡，身穿紅黑相間的SCU運動夾克並背著後背包，正端坐在明亮的校園圖書館靠窗自習座位前，雙手端正地捧著一本印有校園歷史建築素描的教科書認真研讀。小熊憨厚專注的神情彷彿正陪伴著每一位挑燈夜戰的學子共同複習功課。畫面右下角附有巨資學院資料科學系的品牌標誌，在緊繃的考試壓力下為學生帶來一絲溫暖的微笑與滿滿的應考正能量。
